"統計期","總計[人]","升學/合計[人]","升學/大學校院[人]","升學/二專[人]","升學/軍警學校[人]","升學/其他[人]","就業/合計[人]","就業/農林漁牧業[人]","就業/礦業及土石採取業[人]","就業/製造業營建工程業[人]","就業/用水電力燃氣供應及污染整治業[人]","就業/批發及零售業[人]","就業/住宿及餐飲業[人]","就業/金融保險及不動產業[人]","就業/運輸倉儲出版影音及資通訊業[人]","就業/專業科學及技術服務業[人]","就業/藝術娛樂及休閒服務業[人]","就業/公共行政及國防[人]","就業/其他[人]","閒居[人]","其他[人]"
"103學年",39635,35778,34829,385,146,418,2471,2,1,77,13,131,734,84,136,170,229,13,881,660,726
"104學年",36587,33049,32197,349,112,391,2295,2,5,60,9,175,674,32,161,190,239,7,741,593,650
"105學年",32782,29626,28612,384,106,524,2134,9,0,81,11,213,848,46,136,167,184,13,426,493,529
"106學年",33871,30677,29519,294,165,699,1947,7,0,59,13,120,826,46,66,158,195,8,449,697,550
"107學年",32259,28840,27750,355,126,609,1817,2,2,95,11,130,800,17,66,281,161,25,227,876,726
"108學年",28251,25590,24875,263,113,339,1436,8,2,64,13,76,509,31,46,196,249,20,222,691,534
"109學年",27468,25323,24832,81,99,311,1293,4,7,70,5,88,441,48,70,133,121,28,278,379,473
"110學年",25690,23637,23122,53,111,351,1212,8,0,115,13,83,384,88,65,80,85,21,270,398,443
"111學年",25035,23067,22531,62,94,380,1326,3,0,88,7,119,478,92,73,99,139,17,211,415,227
"112學年",24121,22189,21629,27,95,438,1229,10,0,58,4,96,524,78,31,30,178,13,207,517,186

